标题,"简写作者,期刊,时间,出版商",简写摘要,引用,被引用次数,文献链接
[PDF] GPT-3 and Friends: Transformers in Natural Language Processing,"L Reber - FMS-BERICHTE, 2022 - researchgate.net","In 2020, the British newspaper “The Guardian” published an editorial written in its entirety
by an artificial intelligence called “Generative Pre-trained Transformer 3”. GPT-3 is one of …","Reber, L. (2022). GPT-3 and Friends: Transformers in Natural Language Processing. FMS-BERICHTE.",无,https://www.researchgate.net/profile/Andrea-Reindl/publication/364180536_FMS-BERICHTE_SOMMERSEMESTER_2022/links/633d93879cb4fe44f305a2dc/FMS-BERICHTE-SOMMERSEMESTER-2022.pdf#page=63
[PDF] A ROBOT RECOMMENDS: GPT-3 ANSWERS READERS'ADVISORY QUESTIONS,AC Dallara - 2022 - scholar.archive.org,"… with the accuracy of GPT-3’s answers; this study explores how GPT-3 thinks, not what it
thinks. I hope that such a demonstration will open the door for more research into GPT-3’s …","Dallara, A. C. (2022). A ROBOT RECOMMENDS: GPT-3 ANSWERS READERS’ADVISORY QUESTIONS.",无,https://scholar.archive.org/work/wojolioq6vgzjg3mrevig7yln4/access/wayback/https://cdr.lib.unc.edu/downloads/q524jz36r
"Transient assay, by [3H] guanine incorporation of Escherichia coli xanthine-guanine phosphoribosyl transferase (GPT) in transfected human fibroblasts","JF Burke, MHL Green, JE Lowe - Gene, 1985 - Elsevier","We have used [ 3 H]guanine incorporation as a rapid and sensitive assay of xanthine-guanine
phosphoribosyi transferase (GPT) activity in SV40 transformed human fibroblasts. The …","Burke, J. F., Green, M. H. L., & Lowe, J. E. (1985). Transient assay, by [3H] guanine incorporation of Escherichia coli xanthine-guanine phosphoribosyl transferase (GPT) in transfected human fibroblasts. Gene, 40(1), 93-98.",1,没有链接
Treatment of fibromyalgia syndrome with gabapentin and pregabalin–a meta-analysis of randomized controlled trials,"W Häuser, K Bernardy, N Üçeyler, C Sommer - PAIN®, 2009 - Elsevier","… Because of the search strategy we suppose that we did not miss any RCTs with GPT or PGB
in FMS. Therefore we did not perform funnel plots [12] and did not calculate fail-safe Ns [27] …","Häuser, W., Bernardy, K., Üçeyler, N., & Sommer, C. (2009). Treatment of fibromyalgia syndrome with gabapentin and pregabalin–a meta-analysis of randomized controlled trials. PAIN®, 145(1-2), 69-81.",306,https://www.ncbi.nlm.nih.gov/books/NBK78100/
Importance of chat GPT in Agriculture: According to chat GPT,"S Biswas - Available at SSRN 4405391, 2023 - papers.ssrn.com","… In this article the author explores the potential uses of chat GPT in agriculture, according to
it. The author acknowledges … The author has analyzed and edited the replies of chat GPT. …","Biswas, S. (2023). Importance of chat GPT in Agriculture: According to chat GPT. Available at SSRN 4405391.",无,没有链接
Theory of mind may have spontaneously emerged in large language models,"M Kosinski - arXiv preprint arXiv:2302.02083, 2023 - arxiv.org","… The models included in our analysis include GPT-1 (40) GPT-2 (41); six models in the GPT-…
billion parameters—including GPT-1, GPT-2, and all but the largest model in the GPT-3 family…","Kosinski, M. (2023). Theory of mind may have spontaneously emerged in large language models. arXiv preprint arXiv:2302.02083.",24,https://arxiv.org/pdf/2302.02083
Nickel ions increase histone H3 lysine 9 dimethylation and induce transgene silencing,"H Chen, Q Ke, T Kluz, Y Yan… - Molecular and cellular …, 2006 - Am Soc Microbiol","… deletion or a mutation in the gpt locus (22), such a high frequency of reversion to gpt +
phenotype indicated that the Ni ion silenced the gpt transgene through an epigenetic mechanism. …","Chen, H., Ke, Q., Kluz, T., Yan, Y., & Costa, M. (2006). Nickel ions increase histone H3 lysine 9 dimethylation and induce transgene silencing. Molecular and cellular biology, 26(10), 3728-3737.",239,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=154f25e784336f50696221ce06697fcca55a3ac8
The instability of (GpT)n and (ApC)n microsatellites induced by formaldehyde in Escherichia coli,"W Wang, J Xu, L Xu, B Yue, F Zou - Mutagenesis, 2007 - academic.oup.com","… The mutation frequencies of out of frame (GpT) 32 , (GpT) 25 and (GpT) 16 induced by … (GpT)
32 was about three times higher than that of (GpT) 16 . The complementary sequences (GpT…","Wang, W., Xu, J., Xu, L., Yue, B., & Zou, F. (2007). The instability of (GpT) n and (ApC) n microsatellites induced by formaldehyde in Escherichia coli. Mutagenesis, 22(5), 353-357.",1,https://academic.oup.com/mutage/article/22/5/353/1145544
Unveiling the Thematic Landscape of Generative Pre-trained Transformer (GPT) Through Bibliometric Analysis,"CAG Cano, VS Castillo, TAC Gallego - Metaverse Basic and Applied …, 2023 - mr.saludcyt.ar","… The current relevance of GPT-4 and the GPT architecture in general is very high due to its
ability to generate natural and coherent text in a wide variety of natural language processing …","Cano, C. A. G., Castillo, V. S., & Gallego, T. A. C. (2023). Unveiling the Thematic Landscape of Generative Pre-trained Transformer (GPT) Through Bibliometric Analysis. Metaverse Basic and Applied Research, 2, 33-33.",无,https://mr.saludcyt.ar/index.php/mr/article/download/33/43
Antihepatotoxic effects of major diterpenoid constituents of Andrographis paniculata,"A Kapil, IB Koul, SK Banerjee, BD Gupta - Biochemical Pharmacology, 1993 - Elsevier","… and release of serum GPT and AP … of GPT and AP in both CC& and tBHP induced toxic
models thus showing a broad range of their inhibitory capacities. Our finding of inhibition in GPT …","Kapil, A., Koul, I. B., Banerjee, S. K., & Gupta, B. D. (1993). Antihepatotoxic effects of major diterpenoid constituents of Andrographis paniculata. Biochemical Pharmacology, 46(1), 182-185.",348,没有链接
Level of Loyalty of The Tabernacle Pentecostal Church (GPT) in Surabaya During Pandemic,"K Zebua, D Wijaya, U Sukri… - … Conference on Theology …, 2022 - atlantis-press.com","… From the results of the study it was found that the loyalty of the GPT Surabaya congregation
… to the GPT Surabaya. Research Contribution: The results of this study hope that the GPT in …","Zebua, K., Wijaya, D., Sukri, U., & Kairupan, A. Y. (2022, July). Level of Loyalty of The Tabernacle Pentecostal Church (GPT) in Surabaya During Pandemic. In International Conference on Theology, Humanities, and Christian Education (ICONTHCE 2021) (pp. 65-68). Atlantis Press.",无,https://www.atlantis-press.com/article/125975629.pdf
SDH Add/Drop Multiplexer,"AJ Barker - US Patent 5,896,378, 1999 - Google Patents","… Original Assignee GPT Ltd … 1995-01-24 Application filed by GPT Ltd filed Critical GPT
Ltd … US5283785A (en) * 1990-03-14 1994-02-01 Gpt Limited Bus bypassing matrix switch …","Barker, A. J. (1999). U.S. Patent No. 5,896,378. Washington, DC: U.S. Patent and Trademark Office.",10,https://patentimages.storage.googleapis.com/df/9d/09/80d9b1b9c66c47/US5896378.pdf
[PDF] Question Answering for Comparative Questions with GPT-2.,"B Sievers - CLEF (Working Notes), 2020 - ceur-ws.org","… For this task, we propose using a language model like GPT-2 to generate the
hypothetically perfect answer to a question. We can then compare this answer with actual …","Sievers, B. (2020). Question Answering for Comparative Questions with GPT-2. In CLEF (Working Notes).",无,http://ceur-ws.org/Vol-2696/paper_213.pdf
The pathogenesis of decreased GOT and GPT activity in the plasma of hemodialysis patients The role of vitamin B6 deficiency,"K Ono, T Ono, Y Hisasue, T Matsumata - Nihon Toseki Igakkai Zasshi, 1994 - jstage.jst.go.jp","… The mechanisms responsible for the low plasma (p) GOT and GPT activity in hemodialysis
(HD) patients remain elusive. This prospective study was undertaken to clarify the relationship …","Ono, K., Ono, T., Hisasue, Y., & Matsumata, T. (1994). The pathogenesis of decreased GOT and GPT activity in the plasma of hemodialysis patients The role of vitamin B 6 deficiency. Nihon Toseki Igakkai Zasshi, 27(10), 1319-1323.",1,https://www.jstage.jst.go.jp/article/jsdt1994/27/10/27_10_1319/_pdf
