标题,"简写作者,期刊,时间,出版商",简写摘要,引用,被引用次数,文献链接
"Heroes, Villains, and Victims, and GPT-3--Automated Extraction of Character Roles Without Training Data","D Stammbach, M Antoniak, E Ash - arXiv preprint arXiv:2205.07557, 2022 - arxiv.org","… GPT-3 to measure authors’ framing biases, but it is simultaneously likely that biases encoded
in GPT… Another major limitation to the use of the GPT-3 API is the cost of OpenAI API queries…","Stammbach, D., Antoniak, M., & Ash, E. (2022). Heroes, Villains, and Victims, and GPT-3--Automated Extraction of Character Roles Without Training Data. arXiv preprint arXiv:2205.07557.",被引用次数：3,https://arxiv.org/pdf/2205.07557
The socio-cultural impact of Growth-Pole Theory (GPT) tourism development,"SE Lee - Anatolia, 2016 - Taylor & Francis","… the sociocultural impacts of development, and specifically GPT tourism development, are
far-… hopes of continuing to better understand how GPT as an approach to tourism development, …","Lee, S. E. (2016). The socio-cultural impact of Growth-Pole Theory (GPT) tourism development. Anatolia, 27(2), 268-270.",被引用次数：3,没有链接
"A Large‐Scale Survey on the Prevalence of HBeAg and Anti‐HBe among Asymptomatic Carriers of HBV: Correlation with Sex, Age, HBsAg Titre and s‐GPT Value","T Sasuki, T Hattori, M Muyumi - Vox Sanguinis, 1979 - Wiley Online Library","… as HB,Ag titre and s-GPT level in the serum. HBeAg was found … An abnormally high value of
s-GPT (41 Karmen U/ml or more… The frequency of abnormally high levels of s-GPT was much …","Sasuki, T., Hattori, T., & Muyumi, M. (1979). A Large‐Scale Survey on the Prevalence of HBeAg and Anti‐HBe among Asymptomatic Carriers of HBV: Correlation with Sex, Age, HBsAg Titre and s‐GPT Value. Vox Sanguinis, 37(4), 216-221.",被引用次数：3,没有链接
[图书] Strategic management,"A Miller, GG Dess - 1996 - repository.vnu.edu.vn","… Instructor's Preface --|tStudent's Preface --|gpt. l.|tPerspectives on … tThe Process of
Strategic Management --|gpt. II.|tStrategic … tThe Process of Strategic Management --|gpt. II.|tStrategic …","Miller, A., & Dess, G. G. (1996). Strategic management.",被引用次数：3,没有链接
"Comprehensive analysis of the general toxicity, genotoxicity, and carcinogenicity of 3-acetyl-2, 5-dimethylfuran in male gpt delta rats","S Takasu, Y Ishii, M Namiki, K Nakamura… - Food and Chemical …, 2023 - Elsevier","… Overall, our comprehensive toxicity study using gpt delta rats provided insights into the … gpt
MFs were calculated from the number of gpt mutants after clonal correction by sequencing gpt …","Takasu, S., Ishii, Y., Namiki, M., Nakamura, K., Mitsumoto, T., Takimoto, N., ... & Ogawa, K. (2023). Comprehensive analysis of the general toxicity, genotoxicity, and carcinogenicity of 3-acetyl-2, 5-dimethylfuran in male gpt delta rats. Food and Chemical Toxicology, 172, 113544.",被引用次数：3,没有链接
"Can GPT-3 write an academic paper on itself, with minimal human input?","GGP Transformer, AO Thunstr?m, S Steingrimsson - 2022 - hal.science","… In this paper, we explore GPT-3's ability to write about itself. We find that GPT-3 can generate
… We believe that the benefits of letting GPT-3 write about itself outweigh the risks. However, …","Transformer, G. G. P., Thunstr?m, A. O., & Steingrimsson, S. (2022). Can GPT-3 write an academic paper on itself, with minimal human input?.",被引用次数：3,https://hal.science/hal-03701250/document
"Alanine aminotransferase (ALAT, GPT): a reevaluation of exclusion limits for blood donors","R Grunenberg, N Banik, J Krüger - Infusionstherapie und …, 1995 - europepmc.org","Background The screening policy of alanine aminotransferase (ALT) testing in blood donors
was reassessed. The cutoff value for ALT levels according to German guidelines has …","Grunenberg, R., Banik, N., & Krüger, J. (1995). Alanine aminotransferase (ALAT, GPT): a reevaluation of exclusion limits for blood donors. Infusionstherapie und Transfusionsmedizin, 22(3), 145-151.",被引用次数：3,没有链接
[PDF] Generating Complement Data for Aspect Term Extraction with GPT-2,"APB Veyseh, F Dernoncourt, B Min… - Proceedings of the …, 2022 - aclanthology.org","Aspect Term Extraction (ATE) is the task of identifying the word (s) in a review text toward
which the author express an opinion. A major challenges for ATE involve data scarcity that …","Veyseh, A. P. B., Dernoncourt, F., Min, B., & Nguyen, T. H. (2022, July). Generating Complement Data for Aspect Term Extraction with GPT-2. In Proceedings of the Third Workshop on Deep Learning for Low-Resource Natural Language Processing (pp. 203-213).",被引用次数：3,https://aclanthology.org/2022.deeplo-1.21.pdf
[PDF] Interacting with GPT-2 to generate controlled and believable musical sequences in ABC notation,"C Geerlings, A Merono-Penuela - … of the 1st Workshop on NLP for …, 2020 - aclanthology.org","… In this paper, we re-train the small (117M) GPT-2 model with a large dataset in ABC
notation, and generate samples of single-instrument folk music. Our BLEU and ROUGE based …","Geerlings, C., & Merono-Penuela, A. (2020). Interacting with GPT-2 to generate controlled and believable musical sequences in ABC notation. In Proceedings of the 1st Workshop on NLP for Music and Audio (NLP4MusA) (pp. 49-53).",被引用次数：3,https://aclanthology.org/2020.nlp4musa-1.10.pdf
Assessing the accuracy and reliability of AI-generated medical responses: an evaluation of the Chat-gpt model,"D Johnson, R Goodman, J Patrinely, C Stone… - 2023 - researchsquare.com","Background: Natural language processing models such as ChatGPT can generate text-based
content and are poised to become a major information source in medicine and beyond. …","Johnson, D., Goodman, R., Patrinely, J., Stone, C., Zimmerman, E., Donald, R., ... & Wheless, L. (2023). Assessing the accuracy and reliability of AI-generated medical responses: an evaluation of the Chat-gpt model.",被引用次数：3,https://www.researchsquare.com/article/rs-2566942/latest.pdf
Probing GPT-3's linguistic knowledge on semantic tasks,"L Zhang, M Wang, L Chen, W Zhang - Proceedings of the Fifth …, 2022 - aclanthology.org","… style, while designing another general prompt that allows GPT-3 to give its own … GPT-3 will
take fewer risks when making the prediction. We test the semantic tasks from SentEval on GPT…","Zhang, L., Wang, M., Chen, L., & Zhang, W. (2022, December). Probing GPT-3’s linguistic knowledge on semantic tasks. In Proceedings of the Fifth BlackboxNLP Workshop on Analyzing and Interpreting Neural Networks for NLP (pp. 297-304).",被引用次数：1,https://aclanthology.org/2022.blackboxnlp-1.24.pdf
Generative Artificial Intelligence (GAI) Ethics Taxonomy-Applying Chat GPT for Robotic Process Automation (GAI-RPA) as Business Case,"DO Beerbaum - Available at SSRN 4385025, 2023 - papers.ssrn.com","… With the introduction of Chat GPT, which is a public tool developed by Open GAI and its
underlying technology Generative Pretrained Transformer (GPT)., generative AI is forecasted to …","Beerbaum, D. O. (2023). Generative Artificial Intelligence (GAI) Ethics Taxonomy-Applying Chat GPT for Robotic Process Automation (GAI-RPA) as Business Case. Available at SSRN 4385025.",被引用次数：1,https://www.researchgate.net/profile/Dirk-Beerbaum/publication/369147589_Generative_Artificial_Intelligence_GAI_Ethics_Taxonomy-Applying_Chat_GPT_for_Robotic_Process_Automation_GAI-RPA_as_business_case/links/640c666292cfd54f84f1fea2/Generative-Artificial-Intelligence-GAI-Ethics-Taxonomy-Applying-Chat-GPT-for-Robotic-Process-Automation-GAI-RPA-as-business-case.pdf
GeneTuring tests GPT models in genomics,"W Hou, Z Ji - bioRxiv, 2023 - biorxiv.org","… for GPT models, and it is largely unknown if GPT models can … test the performance of GPT
models in genomics. We choose … BioGPT and BioMedLM are both GPT models relying on GPT…","Hou, W., & Ji, Z. (2023). GeneTuring tests GPT models in genomics. bioRxiv, 2023-03.",被引用次数：1,https://www.biorxiv.org/content/biorxiv/early/2023/03/13/2023.03.11.532238.full.pdf
Improving Short Text Classification With Augmented Data Using GPT-3,"S Balkus, D Yan - arXiv preprint arXiv:2205.10981, 2022 - arxiv.org","… To address this issue, this study teaches GPT-3 to classify whether a question is related to …
additional examples generated by GPT-3 itself. This study compares two classifiers: the GPT-3 …","Balkus, S., & Yan, D. (2022). Improving Short Text Classification With Augmented Data Using GPT-3. arXiv preprint arXiv:2205.10981.",被引用次数：1,https://arxiv.org/pdf/2205.10981
Disposable eye patch and method of manufacturing a disposable eye patch,"NL Arnold, JM Stein - US Patent 6,320,094, 2001 - Google Patents","A disposable eye patch includes a first sheet member, a second sheet member smaller than
the first sheet member, and an adhesive layer applied to one side of the first sheet member. …","Arnold, N. L., & Stein, J. M. (2001). U.S. Patent No. 6,320,094. Washington, DC: U.S. Patent and Trademark Office.",被引用次数：1,https://patentimages.storage.googleapis.com/94/23/1c/78f12f5dad5a3f/US6320094.pdf
"In vivo mutagenicity and tumor-promoting activity of 1,3-dichloro-2-propanol in the liver and kidneys of gpt delta rats","K Matsushita, S Takasu, Y Ishii, T Toyoda… - Archives of …, 2021 - Springer","… gpt delta rat models previously established in our laboratory (GPG and GNP models). Six-week-old
male F344 gpt … gpt mutant frequencies increased in excised liver and kidney tissues …","Matsushita, K., Takasu, S., Ishii, Y., Toyoda, T., Yamada, T., Morikawa, T., & Ogawa, K. (2021). In vivo mutagenicity and tumor-promoting activity of 1, 3-dichloro-2-propanol in the liver and kidneys of gpt delta rats. Archives of Toxicology, 95, 3117-3131.",被引用次数：1,没有链接
Developing a GPT-3-Based Automated Victim for Advance Fee Fraud Disruption,"J Hewett, M Leeke - 2022 IEEE 27th Pacific Rim International …, 2022 - ieeexplore.ieee.org","… The experience presented (i) demonstrates that GPT-3 can be … , (iii) evaluates the effectiveness
of a GPT-3-based victim for … document the efficacy of using GPT-3 to generate plausible …","Hewett, J., & Leeke, M. (2022, November). Developing a GPT-3-Based Automated Victim for Advance Fee Fraud Disruption. In 2022 IEEE 27th Pacific Rim International Symposium on Dependable Computing (PRDC) (pp. 205-211). IEEE.",被引用次数：1,没有链接
Lack of in vivo mutagenicity and oxidative DNA damage by flumequine in the livers of gpt delta mice,"Y Kuroiwa, T Umemura, A Nishikawa, K Kanki… - Archives of …, 2007 - Springer","… Similarly, in the present study, there were also no remarkable increases in gpt or Spi-
mutation frequencies in the liver DNA of male or female gpt delta mice treated with FLU. We …","Kuroiwa, Y., Umemura, T., Nishikawa, A., Kanki, K., Ishii, Y., Kodama, Y., ... & Hirose, M. (2007). Lack of in vivo mutagenicity and oxidative DNA damage by flumequine in the livers of gpt delta mice. Archives of toxicology, 81, 63-69.",被引用次数：1,没有链接
The levels of 185Ir populated in the decay of 185m+ gPt,"C Schück, J Genevey-Rivier, V Berg, A Knipper… - Nuclear Physics A, 1979 - Elsevier","The decay scheme of 185m + g pt has been investigated using isotopically separated samples
produced by the ISOLDE facility. A level scheme of 185 Ir has been established. The 3 2 …","Schück, C., Genevey-Rivier, J., Berg, V., Knipper, A., Walter, G., Richard-Serre, C., ... & Isolde Collaboration. (1979). The levels of 185Ir populated in the decay of 185m+ gPt. Nuclear Physics A, 325(2-3), 421-444.",被引用次数：1,https://hal.science/hal-00001559/file/lhmoriond.pdf
Development of a medium-term animal model using gpt delta rats to evaluate chemical carcinogenicity and genotoxicity,"K Matsushita, A Kijima, Y Ishii, S Takasu… - Journal of toxicologic …, 2013 - jstage.jst.go.jp","In this study, the potential for development of an animal model (GPG46) capable of rapidly
detecting chemical carcinogenicity and the underlying mechanisms of action were examined …","Matsushita, K., Kijima, A., Ishii, Y., Takasu, S., Jin, M., Kuroda, K., ... & Umemura, T. (2013). Development of a medium-term animal model using gpt delta rats to evaluate chemical carcinogenicity and genotoxicity. Journal of toxicologic pathology, 26(1), 19-27.",被引用次数：1,https://www.jstage.jst.go.jp/article/tox/26/1/26_2012-0030/_pdf
Enhancing aggression detection using GPT-2 based data balancing technique,"A Shrivastava, R Pupale, P Singh - 2021 5th International …, 2021 - ieeexplore.ieee.org","… CONCLUSION This paper introduces a novel data balancing method with GPT-2. GPT-2
is … From the results it is evident that training with the balanced dataset generated by GPT-2 …","Shrivastava, A., Pupale, R., & Singh, P. (2021, May). Enhancing aggression detection using GPT-2 based data balancing technique. In 2021 5th International Conference on intelligent computing and control systems (ICICCS) (pp. 1345-1350). IEEE.",被引用次数：4,没有链接
Towards the Generation of Musical Explanations with GPT-3,"SJ Krol, MT Llano, J McCormack - Artificial Intelligence in Music, Sound, Art …, 2022 - Springer","… , GPT-3, has shown great potential for many NLP tasks, with applications in many different
domains. In this work we carry out a first study on GPT-3’… Our results show that GPT-3 lacks the …","Krol, S. J., Llano, M. T., & McCormack, J. (2022, April). Towards the Generation of Musical Explanations with GPT-3. In Artificial Intelligence in Music, Sound, Art and Design: 11th International Conference, EvoMUSART 2022, Held as Part of EvoStar 2022, Madrid, Spain, April 20–22, 2022, Proceedings (pp. 131-147). Cham: Springer International Publishing.",被引用次数：4,https://arxiv.org/pdf/2206.08264
Physiological effects of an allozyme polymorphism: Glutamate-pyruvate transaminase and response to hyperosmotic stress in the copepod Tigriopus californicus,"RS Burton, MW Feldman - Biochemical genetics, 1983 - Springer","… GPT alleles indicated that the GPT F allozyme has a significantly higher specific activity than
the GPT s … stress, individual adult copepods of GPT F and GPT r/s genotypes accumulated …","Burton, R. S., & Feldman, M. W. (1983). Physiological effects of an allozyme polymorphism: glutamate-pyruvate transaminase and response to hyperosmotic stress in the copepod Tigriopus californicus. Biochemical genetics, 21(3-4), 239-251.",被引用次数：4,https://www.researchgate.net/profile/Ronald-Burton/publication/16339315_Physiological_effects_of_an_allozyme_polymorphism-Glutamate_pyruvate_transaminase_and_response_to_hypersomotic_stress_in_the_copepod_Tigriopus_califonicus/links/0912f50f756e2723b9000000/Physiological-effects-of-an-allozyme-polymorphism-Glutamate-pyruvate-transaminase-and-response-to-hypersomotic-stress-in-the-copepod-Tigriopus-califonicus.pdf
The role of glucocorticoid pulse therapy in pulmonary involvement in leptospirosis.,"SV Trivedi, RK Chavda, PZ Wadia, V Sheth… - The Journal of the …, 2001 - europepmc.org","… Mortality was two out of eight patients in the group that received GPT and four out of five
patients in the group that did not receive GPT. Two patients who died in the steroid treated group …","Trivedi, S. V., Chavda, R. K., Wadia, P. Z., Sheth, V., Bhagade, P. N., Trivedi, S. P., ... & Mevawala, D. M. (2001). The role of glucocorticoid pulse therapy in pulmonary involvement in leptospirosis. The Journal of the Association of Physicians of India, 49, 901-903.",被引用次数：4,没有链接
Time division duplex telecommunication system,"NE Barnes, BA Bidwell, A Bud, M Crisp… - US Patent …, 1995 - Google Patents","A communication procedure suitable for a cordless telephone system involves time division
duplex radio communication between a handset 11 and a base station 3 using alternating …","Barnes, N. E., Bidwell, B. A., Bud, A., Crisp, M., Dudek, M. T., Goodings, R., ... & Rodgers, I. (1995). U.S. Patent No. 5,416,779. Washington, DC: U.S. Patent and Trademark Office.",被引用次数：4,https://patentimages.storage.googleapis.com/15/95/d6/909a2619414599/US5416779.pdf
