标题,"简写作者,期刊,时间,出版商",简写摘要,引用,被引用次数,文献链接
Aspartate aminotransferase (AST/GOT) and alanine aminotransferase (ALT/GPT) detection techniques,"XJ Huang, YK Choi, HS Im, O Yarimaga, E Yoon… - Sensors, 2006 - mdpi.com","… ALT/GPT in monitoring patients with liver diseases, AST/GOT and ALT/GPT detection have
… AST/GOT and ALT/GPT detection technologies (we call them GOT and GPT in the following …","<selenium.webdriver.remote.webelement.WebElement (session=""5046c79aea5ea6d15e7e98771040090b"", element=""95a88e6c-581b-4446-837b-d67927f7d968"")>",被引用次数：482,https://www.mdpi.com/1424-8220/6/7/756/pdf
Chatting about ChatGPT: how may AI and GPT impact academia and libraries?,"BD Lund, T Wang - Library Hi Tech News, 2023 - emerald.com","Purpose This paper aims to provide an overview of key definitions related to ChatGPT, a
public tool developed by OpenAI, and its underlying technology, Generative Pretrained …","<selenium.webdriver.remote.webelement.WebElement (session=""5046c79aea5ea6d15e7e98771040090b"", element=""fa1ef6d1-9ee0-4c58-af6e-e1bb6be9dd95"")>",被引用次数：482,https://www.researchgate.net/profile/Brady-Lund/publication/367161545_Chatting_about_ChatGPT_How_may_AI_and_GPT_impact_academia_and_libraries/links/6412235c315dfb4cce80f0e4/Chatting-about-ChatGPT-How-may-AI-and-GPT-impact-academia-and-libraries.pdf
Gpt-gnn: Generative pre-training of graph neural networks,"Z Hu, Y Dong, K Wang, KW Chang, Y Sun - Proceedings of the 26th ACM …, 2020 - dl.acm.org","… Based on this task, we present the GPT-GNN framework for generative pretraining of graph
… framework GPT-GNN to conduct generative pre-training with the aforementioned task. GPT-…","<selenium.webdriver.remote.webelement.WebElement (session=""5046c79aea5ea6d15e7e98771040090b"", element=""d521f327-ac8b-447b-b575-ac688acc842e"")>",被引用次数：482,https://dl.acm.org/doi/pdf/10.1145/3394486.3403237
"[HTML] GPT-3: Its nature, scope, limits, and consequences","L Floridi, M Chiriatti - Minds and Machines, 2020 - Springer","In this commentary, we discuss the nature of reversible and irreversible questions, that is,
questions that may enable one to identify the nature of the source of their answers. We then …","<selenium.webdriver.remote.webelement.WebElement (session=""5046c79aea5ea6d15e7e98771040090b"", element=""04ca22d6-d07b-4343-8f54-1f28392445cd"")>",被引用次数：482,https://link.springer.com/article/10.1007/s11023-020-09548-1
What Makes Good In-Context Examples for GPT-?,"J Liu, D Shen, Y Zhang, B Dolan, L Carin… - arXiv preprint arXiv …, 2021 - arxiv.org","… found that the empirical results of GPT-3 depend heavily on … (relative to random sampling)
that better leverage GPT3’s few-shot … as more informative inputs to unleash GPT-3’s extensive …","<selenium.webdriver.remote.webelement.WebElement (session=""5046c79aea5ea6d15e7e98771040090b"", element=""fd63c04b-de15-4ee1-a55c-a5feed356321"")>",被引用次数：482,https://arxiv.org/pdf/2101.06804
[HTML] A commentary of GPT-3 in MIT Technology Review 2021,"M Zhang, J Li - Fundamental Research, 2021 - Elsevier","… setting, GPT-1 still has some generalization ability. These results have shown the power of
GPT … Based on GPT-1, GPT-2 included five minor improvements to the model structure, added …","<selenium.webdriver.remote.webelement.WebElement (session=""5046c79aea5ea6d15e7e98771040090b"", element=""b7485ddc-c3a1-44cf-b020-9fd443d40f42"")>",被引用次数：482,https://www.sciencedirect.com/science/article/pii/S2667325821002193
"How contextual are contextualized word representations? comparing the geometry of BERT, ELMo, and GPT-2 embeddings","K Ethayarajh - arXiv preprint arXiv:1909.00512, 2019 - arxiv.org","… The contextualizing models we study in this paper are ELMo, BERT, and GPT-21. We
choose the base cased version of BERT because it is most comparable to GPT-2 with respect to …","<selenium.webdriver.remote.webelement.WebElement (session=""5046c79aea5ea6d15e7e98771040090b"", element=""91543ede-e461-4758-8680-3e31a4c6db65"")>",被引用次数：482,https://arxiv.org/pdf/1909.00512
"GPT understands, too","X Liu, Y Zheng, Z Du, M Ding, Y Qian, Z Yang… - arXiv preprint arXiv …, 2021 - arxiv.org","While GPTs with traditional fine-tuning fail to achieve strong results on natural language
understanding (NLU), we show that GPTs can be better than or comparable to similar-sized …","<selenium.webdriver.remote.webelement.WebElement (session=""5046c79aea5ea6d15e7e98771040090b"", element=""3f657023-0e4f-4deb-99e7-0d962fccfe07"")>",被引用次数：482,https://arxiv.org/pdf/2103.10385
Using cognitive psychology to understand GPT-3,"M Binz, E Schulz - Proceedings of the National Academy of …, 2023 - National Acad Sciences","… model (GPT-3) do experiments from the cognitive psychology literature. We find that GPT-3
can … the cognitive psychology literature to demystify how GPT-3 solves different tasks and use …","<selenium.webdriver.remote.webelement.WebElement (session=""5046c79aea5ea6d15e7e98771040090b"", element=""eb470fbf-501e-458d-a533-6b7785f98205"")>",被引用次数：482,https://www.pnas.org/doi/full/10.1073/pnas.2218523120
Escherichia coli gpt gene provides dominant selection for vaccinia virus open reading frame expression vectors,"FG Falkner, B Moss - Journal of virology, 1988 - Am Soc Microbiol","… of developing a coexpression vector similar to that described here for gpt. In summary, gpt
selection provides a number of important advantages over previous procedures devised to …","<selenium.webdriver.remote.webelement.WebElement (session=""5046c79aea5ea6d15e7e98771040090b"", element=""d74faca8-fe65-4ef2-8c99-6805c3bea1f1"")>",被引用次数：482,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC253265/pdf/jvirol00085-0019.pdf
